Designator,Mid X,Mid Y,Layer,Rotation
1, 7.62, 6.99,Top,90.0
2,15.24, 6.99,Top,90.0
4, 2.54,22.23,Top,90.0
5,10.16,22.23,Top,270.0
6, 7.62,22.23,Top,270.0
7,12.70,22.23,Top,90.0
8,17.78,22.23,Top,270.0
9,27.94,17.14,Top,270.0
10,25.40,17.14,Top,270.0
11,22.86,17.14,Top,270.0
12,25.40,22.23,Top,90.0
13,22.86,22.23,Top,90.0
14,20.32,22.23,Top,270.0
15,25.40, 6.99,Top,270.0
16,20.32, 6.99,Top,270.0
17,22.86, 6.99,Top,90.0
C1,10.16, 6.99,Top,90.0
C2, 5.08,22.23,Top,90.0
C3,15.24,22.23,Top,90.0
C4,27.94,12.07,Top,90.0
C5,25.40,12.07,Top,90.0
C6,22.86,12.07,Top,90.0
C7,27.94,22.23,Top,270.0
C8,27.94, 6.99,Top,270.0
C9,17.78, 6.99,Top,90.0
C10,20.00,14.61,Top,270.0
IC1,13.97,14.61,Top,0.0
